CIT,PRS
65,0
153,1
83,0
30,0
90,1
233,1
99,1
82,0
56,0
36,0
78,0
240,1
59,0
61,1
78,0
81,1
101,1
60,1
71,0
104,1
62,0
62,1
55,0
50,0
42,0
102,1
64,0
71,0
75,1
90,0
67,0
35,0
54,0
63,0
76,1
57,0
89,1
61,0
57,0
67,1
61,1
36,0
65,1
183,1
60,0
202,1
50,0
59,0
121,1
60,1
50,0
126,1
74,0
67,1
79,0
120,1
72,1
101,1
60,1
89,0
60,1
220,1
200,1
70,1
70,0
94,1
70,1
52,0
98,1
156,1
64,0
76,0
88,1
66,1
112,1
123,1
73,1
67,0
111,1
92,0
78,0
58,0
90,0
84,1
120,0
112,0
102,1
112,1
86,0
88,0
110,1
156,1
218,0
116,0
62,1
65,1
70,1
54,0
75,0
85,0
78,0
66,0
93,0
80,1
89,1
60,0
67,0
64,0
40,0
97,1
43,0
76,0
227,1
107,1
122,1
66,0
83,0
59,0
61,0
111,1
66,0
129,1
212,1
79,0
355,1
79,0
72,0
69,0
53,0
280,1
158,1
182,1
66,0
36,0
250,1
51,0
90,1
76,0
59,0
71,1
130,1
74,1
58,0
64,1
65,0
61,0
70,1
59,0
61,0
68,0
40,0
91,1
34,0
125,1
40,0
96,1
67,0
54,0
105,1
56,0
59,0
47,0
114,1
63,0
171,1
68,0
242,1
58,0
56,0
108,1
53,0
60,0
84,1
198,0
75,1
129,1
96,0
130,1
80,0
73,0
158,1
132,1
89,0
88,1
106,0
108,0
79,0
73,0
118,1
62,0
119,1
132,1
125,1
145,1
250,1
95,1
310,1
52,0
64,1
68,0
134,1
96,1
129,1
172,1
70,1
68,0
155,1
180,0
89,0
95,0
81,1
85,0
73,0
103,0
125,0
88,0
99,0
77,0
91,0
112,0
76,1
86,0
58,0
75,0
85,1
107,0
119,1
74,1
86,0
130,0
71,0
94,0
190,1
102,0
89,0
141,0
97,0
97,0
120,1
77,1
98,0
101,1
150,1
84,0
93,0
91,0
87,0
167,1
84,1
129,1
97,0
87,0
173,1
94,0
131,0
115,1
108,0
121,0
98,0
101,1
89,0
63,0
144,1
171,1
78,0
92,0
86,0
70,1
85,0
112,0
148,1
101,0
97,1
119,0
94,1
92,1
106,1
114,1
96,1
120,0
96,1
107,0
132,1
98,0
79,0
111,0
56,0
79,0
61,0
77,1
91,0
150,0
97,0
85,0
74,0
100,0
43,0
55,0
79,1
81,0
82,0
79,0
145,1
156,1
 , 
 , 
 , 
 , 
 , 
 , 
